"State","City","lon","lat"
"VA","Woodbridge",-77.2497049,38.6581722
"NC","Burlington",-79.4377991,36.0956918
"TX","Bridgeport",-97.7547552,33.2101155
"MN","BLAINE",-93.2349489,45.1607987
"AR","Cabot",-92.0165336,34.974532
"AZ","Florence",-111.3873431,33.0314508
"CA","El Centro",-115.5630514,32.792
"MN","COLUMBIA HEIGHTS",-93.2474098,45.0481968
"AR","Mountain Home",-92.381346,36.3353949
"AZ","Chandler ",-111.8412502,33.3061605
"AZ","Gilbert",-111.789027,33.3528264
"AR","Springdale",-94.1288141,36.1867442
"TX","Fort Worth",-97.3307658,32.7554883
"GA","Valdosta",-83.2784851,30.8327022
"AR","Conway",-92.4421011,35.0886963
"AR","Praire Grove",-94.3177103,35.9759145
"AZ","Tempe ",-111.9400054,33.4255104
"NC","Chapel Hill",-79.0558445,35.9131996
"NC","Durham",-78.898619,35.9940329
"NC","Fuguay Varina",-78.8000128,35.5843235
"NC","Monroe",-80.5495112,34.9854275
"NC","Salisbury",-80.4742261,35.6709727
"NC","Wake Forest",-78.5097228,35.9798734
"AR","Clarksville",-93.4665731,35.4714724
"NC","Candler",-82.6927363,35.5360973
"NC","Clayton",-78.4563914,35.650711
"NC","Fayetteville",-78.8783585,35.0526641
"NC","Hendersonsville",-82.5514869,35.5950581
"NC","Holly Springs",-78.8336218,35.6512655
"VA","Farmville",-78.3919401,37.3020965
"NC","Boone",-81.6745517,36.216795
"NC","Greenville",-77.3663538,35.612661
"NC","Hickory",-81.3444573,35.7344538
"NC","Kinston",-77.5816353,35.2626635
"NC","Morehead City",-76.7260436,34.7229391
"NC","Sanford",-79.1802994,35.4798757
"NC","Statesville",-80.8872959,35.7826363
"TX","Arlington ",-97.1080656,32.735687
"TX","El Campo",-96.2696867,29.1966405
"VA","Danville",-79.3950228,36.5859718
"VA","Gretna",-79.3589134,36.9537526
"VA","Moneta",-79.6195556,37.1826516
"NC","Apex",-78.8502856,35.732652
"NC","Goldsboro",-77.9927651,35.3848841
"NC","Greensboro",-79.7919754,36.0726354
"NC","High Point",-80.0053176,35.9556923
"NC","Kernersville",-80.0736533,36.1198588
"NC","Rocky Mount",-77.7905339,35.9382103
"NC","WINSTON SALEM",-80.244216,36.0998596
"NC","Winston-Salem",-80.244216,36.0998596
"VA","Bedford",-79.5230877,37.3343079
"FL","Brandon",-82.2859247,27.937801
"IA","Clear Lake",-93.3788108,43.1435564
"NC","Roxboro",-78.982788,36.3937519
"VA","Lynchburg",-79.1422464,37.4137536
"NC","Henderson",-78.3991638,36.3295905
"NC","Wilmington",-77.9447102,34.2257255
"VA","Burkeville",-78.2013859,37.1876529
"AZ","Sun City",-112.2718239,33.5975393
"TX","Glen Rose",-97.7553061,32.2345872
"VA","Brookneal",-78.9441801,37.0501416
"VA","Keysville",-78.4833277,37.0404287
"WI","Neenah",-88.462609,44.1858193
"WI","Oregon",-89.3845634,42.9261116
"CA","Calexico",-115.4988834,32.6789476
"IA","Lake Mills ",-93.5325269,43.419329
"NC","Rockingham",-79.7739457,34.9393201
"WI","Black Creek",-88.4506568,44.4774856
"AR","Lowell",-94.1307587,36.2553543
"AR","Warren",-92.064583,33.6126086
"NC","Aberdeen",-79.4294789,35.131547
"TX","Cedar Hill",-96.9561152,32.5884689
"WI","Appleton",-88.4153847,44.2619309
"WI","Clintonville",-88.7623228,44.6205349
"AZ","Glendale ",-112.1859866,33.5386523
"MI","Livonia",-83.3527097,42.36837
"SD","Flandreau",-96.595324,44.0494154
"WI","Wild Rose",-89.2490064,44.1785884
"GA","Albany",-84.155741,31.5785074
"AZ","Peoria",-112.2373779,33.5805955
"NE","Beatrice",-96.7466913,40.2659269
"MO","Springfield ",-93.2922989,37.2089572
"VA","Altavista",-79.285579,37.1118094
"NC","Roanoke Rapids",-77.6541464,36.4615395
"VA","Victoria",-78.22722,36.9948743
"NC","Cary",-78.7811169,35.79154
"TX","Huntsville",-95.5507771,30.7235263
"TX","Spring",-95.4171601,30.0799405
"MN","Minneapolis",-93.2650108,44.977753
"ND","Bismarck",-100.7837392,46.8083268
"WI","Oshkosh",-88.5426136,44.0247062
"CA","Brawley",-115.530267,32.9786566
"IA","Northwood",-93.2210371,43.4441245
"MN","Maple Grove",-93.4557877,45.0724642
"WI","Waupaca",-89.0859464,44.3580348
"MN","BURNSVILLE",-93.2777226,44.7677424
"MN","Pine City",-92.9703435,45.8229105
"MN","Saint Francis",-93.387922,45.3974847
"TX","Edinburg",-98.1633432,26.3017374
"MN","CHISAGO CITY",-92.8899376,45.3735757
"MN","Farmington",-93.1435497,44.6402434
"MN","Hugo",-92.9933412,45.159964
"MN","North Branch",-92.9931054,45.5102135
"WI","Ellsworth",-92.4874124,44.7321897
"AK","Nome",-165.4063889,64.5011111
"MN","BROOKLYN PARK",-93.3563405,45.0941315
"MN","Eden Prairie",-93.470786,44.8546856
"MN","Prior Lake",-93.4227274,44.7132969
"MN","Hibbing",-92.9376887,47.4271546
"MN","Princeton",-93.5816278,45.569965
"MN","ANDOVER",-93.2913405,45.2332984
"MN","Elk River",-93.5691122,45.3377283
"MN","Maplewood Grove",-93.4557877,45.0724642
"MN","Rosemount",-93.1257723,44.7394103
"MN","St Paul",-93.0899578,44.9537029
"MN","Zimmerman",-93.589962,45.4432986
"WV","Riverton",-79.4358806,38.744002
"GA","Albany ",-84.155741,31.5785074
"WV","Franklin",-79.3311531,38.6428945
"MN","Eagan",-93.1668858,44.8041322
"MN","New Brighton",-93.2018908,45.0655212
"MN","Wyoming",-92.9980556,45.3375
"MN","Apple Valley",-93.21772,44.7319094
"MN","Fridley",-93.2632821,45.0860765
"IA","Greene",-92.8024158,42.8958066
"TX","Montgomery ",-95.6963355,30.3882613
"IA","Rockford",-92.9485301,43.0521922
"MN","MINNEAPOLIS",-93.2650108,44.977753
"MN","Mountain Iron",-92.623515,47.5324267
"TX","Euless",-97.0819541,32.8370727
"IA","Charles City",-92.6724112,43.0663612
"MO","Springfield",-93.2922989,37.2089572
"NC","Harrisburg",-80.6559017,35.3237528
"NC","Mooresville",-80.8100724,35.5848596
"MN","Burnsville",-93.2777226,44.7677424
"TX","Pecos",-103.4932293,31.4229124
"IA","St Ansgar",-92.9203887,43.3784811
"NM","Socorro",-106.8914159,34.0583995
"TX","Lubbock ",-101.8551665,33.5778631
"IA","Forest City",-93.6371937,43.2624685
"NC","Charlotte",-80.8431267,35.2270869
"NC","Leland",-78.0447143,34.2562805
"IA","Bancroft",-94.2180192,43.2927386
"NC","Elizabeth City",-76.2510461,36.2946008
"MN","Lakeville",-93.24272,44.6496868
"MO","Noel",-94.485217,36.5456293
"WI","Eau Claire",-91.4984941,44.811349
"GA","Bainbridge",-84.5754699,30.9037995
"SD","De Smet",-97.5503541,44.3874696
"NC","Concord",-80.579511,35.4087517
"MO","Nixa",-93.294353,37.0433863
"CO","Greeley",-104.7091322,40.4233142
"MN","Nashwauk",-93.1655556,47.3819444
"TX","Bedford",-97.1430671,32.844017
"TX","Mansfield",-97.1416768,32.5631924
"TX","For Worth ",-97.3307658,32.7554883
"WI","Berlin",-88.9434476,43.9680364
"CA","San Diego",-117.1610838,32.715738
"WI","Milwaukee",-87.9064736,43.0389025
"AZ","Goodyear",-112.3576567,33.4353394
"OH","Dayton",-84.1916069,39.7589478
"NC","Rocky Mount ",-77.7905339,35.9382103
"TX","Plano",-96.6988856,33.0198431
"AZ","Surprise",-112.3679279,33.6292337
"MN","Lino Lakes",-93.0888324,45.1602442
"MO","Webb City",-94.4630035,37.1464475
"NC","Wilson",-77.9155395,35.7212689
"TX","Little Elm",-96.9375051,33.1626193
"SD","Highmore",-99.4415007,44.5213731
"CA","Newport Beach",-117.9289469,33.6189101
"TX","Austin",-97.7430608,30.267153
"WI","Weyauwega",-88.9337226,44.3213695
"MI","Brighton",-83.7802214,42.5294773
"AZ","Tolleson",-112.259321,33.4500425
"MN","Milaca",-93.6544079,45.755799
"VA","Dumfries",-77.3280382,38.5676202
"WI","Manawa",-88.9198289,44.4644255
"IA","Riceville",-92.5540687,43.3638571
"GA","Carrollton",-85.0766113,33.5801103
"GA","Bremen",-85.1455036,33.7212179
"IL","Elgin",-88.2825668,42.0354084
"VA","Norton",-82.6290459,36.933433
"CA","Escondido",-117.086421,33.1192068
"IL","Arlington Heights",-87.9806265,42.0883603
"AZ","Flagstaff",-111.651302,35.1982836
"AZ","Lake Havasu City",-114.3224548,34.483901
"GA","Rome",-85.1646726,34.257038
"HI","Honolulu",-157.8583333,21.3069444
"IL","Addison ",-87.9889556,41.931696
"IL","Dundee",-88.3044908,42.1250261
"MO","Lees Summit",-94.3821724,38.9108408
"WV","Harman",-79.5250534,38.9223323
"IL","Hanover Park",-88.1450735,41.9994722
"TX","Arlington",-97.1080656,32.735687
"TX","Mesquite ",-96.5991593,32.7667955
"IA","Winterset",-94.0138393,41.3308237
"TX","McKinney",-96.6397822,33.1972465
"MO","Liberty",-94.4191177,39.2461138
"IL","East Dundee",-88.2714689,42.0989145
"IL","Waukegan ",-87.8447938,42.3636331
"UT","Salt Lake City",-111.8910474,40.7607793
"WI","Middleton",-89.5042876,43.0972174
"SD","Murdo",-100.7129143,43.8883224
"LA","Lafayette",-92.0198427,30.2240897
"MI","Jackson",-84.4013462,42.245869
"CA","San Ysidro",-117.0470434,32.555556
"MO","Kansas City",-94.5785667,39.0997265
"IL","West Chicago",-88.2039607,41.8847507
"SD","Plankinton",-98.4850855,43.715546
"IL","Richmond",-88.3059251,42.4758522
"KS","Leawood",-94.6169012,38.966673
"HI","Mililani",-158.0152807,21.4513314
"KS","Topeka",-95.6890185,39.0558235
"OH","Lima",-84.1052256,40.742551
"TX","Azle",-97.5458565,32.8951262
"OH","Ada",-83.8227148,40.7694969
"OH","Kenton",-83.6096516,40.6469982
"TX","McAllen ",-98.2300124,26.2034071
"TX","Richardson",-96.7298519,32.9483335
"KS","Merriam",-94.6935701,39.0236165
"IL","Antioch",-88.0956396,42.4772418
"MA","Quincy",-71.0022705,42.2528772
"TX","Alton",-98.3133594,26.2872995
"TX","Edingburg",-98.1633432,26.3017374
"TX","Mission",-98.3252932,26.2159066
"WI","Lola",-89.1306665,44.5080338
"WV","Point Pleasant",-82.1370889,38.8445251
"AR","Russellville",-93.1337856,35.2784173
"AZ","Chino Valley",-112.4537809,34.7575227
"TX","McAllen",-98.2300124,26.2034071
"VA","Vienna",-77.2652604,38.9012225
"MA","North Quincy",-71.0245188,42.2811843
"HI","Aiea",-157.9255357,21.386338
"TX","Tomball",-95.6160549,30.0971621
"UT","Draper",-111.8638226,40.5246711
"GA","Villa Rica",-84.9191081,33.732052
"KS","Lawrence",-95.2352501,38.9716689
"KS","Hutchinson",-97.9297743,38.0608445
"MO","Rogersville",-93.0557343,37.116995
"NC","Laurinburg",-79.4628248,34.7740494
"NY","Rochester",-77.6109219,43.16103
"IA","Buffalo Center",-93.9466193,43.3857909
"TX","Amarillo",-101.8312969,35.2219971
"IL","Zion",-87.8328505,42.4461322
"NC","Lenoir",-81.5389849,35.9140196
"MN","Morton",-94.9843725,44.5514993
"TX","Granbury",-97.7941967,32.4420826
"MA","Hull",-70.9078346,42.3020647
"TX","Saginaw",-97.3639068,32.8601275
"TX","San Antonio",-98.4936282,29.4241219
"WY","Cheyenne",-104.8202462,41.1399814
"IL","Mt Prospect",-87.9372908,42.0664167
"CA","Alpine",-116.7664109,32.8350521
"IL","Johnsburg",-88.2420315,42.3800209
"MN","Savage",-93.3591147,44.7647329
"OH","Russells Point",-83.8927162,40.4711612
"CO","Colorado Springs",-104.8213634,38.8338816
"TX","Haltom City",-97.2691817,32.7995738
"UT","West Jordan",-111.9391031,40.6096698
"IL","Round Lake Beach",-88.0900815,42.3716881
"MI","Bloomfield Hills",-83.2454883,42.583645
"SD","Presho",-100.0587343,43.9097116
"TX","North Richland Hills",-97.2289029,32.8342952
"TX","Austin ",-97.7430608,30.267153
"TX","Kyle",-97.8772267,29.9891052
"TX","Bastrop",-97.3152701,30.1104947
"TX","Universal Estates Colonia",-98.193344,26.1272983
"GA","Atlanta ",-84.3879824,33.7489954
"SD","Huron",-98.2142572,44.3633173
"TX","Manor",-97.5569456,30.3407629
"IL","Bensenville",-87.9400657,41.9550296
"LA","Denham Springs",-90.9562125,30.4868564
"SD","Fort Thompson",-99.4378846,44.068601
"SD","Aberdeen",-98.4864829,45.4646985
"TX","weslaco",-97.9908366,26.1595194
"LA","Denham springs",-90.9562125,30.4868564
"WI","Bayfield",-90.81824,46.8107671
"OH","Wapakoneta",-84.1935594,40.5678265
"AK","Shaktoolik",-161.1538889,64.3338889
"AL","Auburn",-85.4807825,32.6098566
"AL","Opelika",-85.3782795,32.6454116
"TN","Cookeville",-85.5016423,36.162839
"TN","Morristown",-83.2948922,36.2139814
"TX","Everman",-97.2891817,32.630968
"GA","Griffin",-84.2640904,33.2467807
"GA","VALDOSTA",-83.2784851,30.8327022
"IA","Sheffield",-93.2118688,42.8944129
"SD","Eagle Butte",-101.2224805,44.9886537
"SD","Isabel",-101.429593,45.3941475
"CA","Campo",-116.4697321,32.6075795
"MI","West Bloomfield",-83.373339,42.5678534
"SD","Bison ",-102.4612708,45.5202647
"SD","Faith",-102.0359924,45.0230391
"TX","Livingston",-94.9329898,30.711029
"TX","Nacogdoches",-94.6554874,31.6035129
"MA","Natick",-71.3468091,42.2775281
"SD","Mission",-100.6581944,43.3058368
"TX","Colleyville",-97.155012,32.8809603
"TX","Pharr",-98.1836216,26.1947962
"IL","Clarendon Hills",-87.9547835,41.7975307
"IN","LaPorte",-86.7227195,41.611143
"MA","West Brookfield",-72.1411642,42.2353463
"NY","Auburn",-76.5660529,42.9317335
"VA","Leesburg",-77.5636015,39.1156615
"VA","Sterling",-77.4291298,39.0066993
"IA","Boone",-93.8802273,42.0597047
"KY","Harrodsburg",-84.8432852,37.762298
"TN","Maryville",-83.9704593,35.7564719
"VA","Reston",-77.3570028,38.9586307
"GA","Warm Springs",-84.6810381,32.8904081
"IL","Elk Grove",-87.9703461,42.0039178
"MI","Clinton Township",-82.9195514,42.5868882
"MI","Saint Joseph",-86.4895463,42.0938577
"NE","Omaha",-95.9979883,41.2523634
"GA","Blue Ridge",-84.324087,34.8639719
"GA","Forsyth",-83.938242,33.0342974
"IL","Tinley Park",-87.7932939,41.5731442
"TX","Rockwall",-96.4597089,32.9312336
"TX","Sulphur Springs",-95.6010668,33.1384479
"VA","Ashburn",-77.4874416,39.0437567
"GA","Eastman",-83.1776514,32.1976729
"MI","Rochester Hills",-83.1499322,42.6583661
"TX","San Antonio ",-98.4936282,29.4241219
"TX","White Settlement",-97.4583538,32.7595737
"VA","South Riding ",-77.4985673,38.9120704
"IL","Chicago",-87.6297982,41.8781136
"MI","Bingham Farms",-83.2732642,42.515868
"TX","Lakeway",-97.991679,30.3679788
"CA","Long Beach",-118.1937395,33.7700504
"GA","Hiawassee",-83.7573948,34.9492586
"MI","Jenison",-85.7919784,42.907248
"TX","Lubbock",-101.8551665,33.5778631
"WA","Richland",-119.2844621,46.2856907
"WV","Charleston",-81.6326234,38.3498195
"AK","Brevig Mission",-166.4891667,65.3347222
"FL","Jacksonville",-81.655651,30.3321838
"FL","Jacksonville Beach",-81.3961338,30.2841224
"FL","Orange Park",-81.706484,30.1660736
"OH","Mason ",-84.309939,39.3600586
"TN","Cleveland",-84.8766115,35.1595182
"UT","Ogden",-111.9738304,41.223
"AK","Savoonga",-170.4788888,63.6941667
"GA","Blairsville",-83.9582412,34.8761989
"GA","East Point ",-84.4393724,33.6795531
"GA","Wadley",-82.4040162,32.8668223
"MI","Warren",-83.0146526,42.5144566
"NC","Hendersonville",-82.4609528,35.3187279
"NC","Spindale ",-81.929271,35.3601212
"TX","Schertz",-98.269734,29.5521737
"FL","Lake City",-82.6392899,30.1896756
"GA","Louisville",-82.4112377,33.0015407
"IA","Lake City",-94.7338704,42.2674828
"LA","Clinton",-91.0156594,30.8657362
"NY","Clifton Park ",-73.8183804,42.844668
"TX","Midlothian",-96.9944489,32.482361
"CA","Davis",-121.7405167,38.5449065
"CO","Thornton",-104.9719243,39.8680412
"TN","Louisville ",-84.0479643,35.8217479
"AK","Gambell",-171.7411111,63.7797222
"AK","Teller",-166.3608333,65.2636111
"MI","Grand Haven",-86.2283864,43.0630734
"KY","Elizabethtown",-85.8649408,37.7030646
"AK","White Mountain",-163.4055556,64.6813889
"NY","Ogdensburg",-75.4863364,44.6942291
"OH","Liberty Township",-84.406761,39.4039859
"SD","Wessington Springs",-98.569536,44.0791571
"TN","Vonroe",-84.2418612,35.590078
"TX","Grapevine",-97.0780654,32.9342919
"FL","Clearwater",-82.8001026,27.9658533
"FL","Largo",-82.7873244,27.9094665
"FL","Plant City",-82.1128641,28.0186323
"FL","Riverview",-82.3264809,27.8661364
"FL","St. Petersburg",-82.6267345,27.7518284
"GA","Thomaston",-84.3265854,32.8881879
"OH","Cincinnati",-84.5120196,39.1031182
"TX","San Angelo",-100.4370375,31.4637723
"CT","North Haven Ct ",-72.8595447,41.3909139
"CT","West Haven",-72.9469711,41.2705484
"FL","Dunedin",-82.7717684,28.0197404
"FL","New Port Richey",-82.7192671,28.2441768
"FL","Safety Harbor",-82.6931553,27.9908529
"IA","Earlham",-94.1229834,41.4915674
"IL","Schaumburg",-88.0834059,42.0333607
"MO","Saint Louis",-90.1994042,38.6270025
"TX","Eastland ",-98.8175623,32.4015198
"TX","Glen Rosa",-97.7553061,32.2345872
"TX","Granbury ",-97.7941967,32.4420826
"WA","Seattle",-122.3320708,47.6062095
"AK","Little Diomede",-168.924255,65.7521798
"CT","Shelton",-73.0931641,41.3164856
"FL","Kissimmee",-81.407571,28.2919557
"FL","Orlando",-81.3792365,28.5383355
"FL","Winter Garden",-81.5861847,28.5652787
"TX","Wharton",-96.1027371,29.3116366
"VA","Newport News",-76.4730122,37.0870821
"GA","Dublin ",-82.903754,32.5404447
"NC","Morrisville",-78.8255621,35.823483
"NY","SAUQUOIT",-75.2600438,43.0041276
"OK","Koweta",-95.650814,35.9517674
"TX","Cleburne",-97.3866837,32.3476438
"TX","New Boston",-94.4154787,33.4598415
"FL","St Cloud",-81.2811801,28.2489016
"IL","ARLINGTON HTS",-87.9806265,42.0883603
"TN","Bulls Gap",-83.0859967,36.2570407
"FL","Palatka",-81.6375819,29.6485801
"IL","Arlington Heights ",-87.9806265,42.0883603
"IL","Rochelle",-89.0687073,41.9239178
"OK","Eufaula",-95.5824846,35.2873206
"NC","Eden",-79.7667026,36.4884715
"OH","Euclid",-81.5267873,41.5931049
"KY","Bowling Green",-86.4808043,36.9685219
"LA","Lake Charles",-93.2173758,30.2265949
"LA","Lake Charles ",-93.2173758,30.2265949
"LA","Moss Bluff ",-93.1907097,30.3027042
"OH","Newark",-82.4012642,40.0581205
"SD","Martin",-101.7326485,43.1724984
"KY","Russellville ",-86.887219,36.8453199
"LA","Sulphur",-93.3773783,30.2365943
"OK","Owasso",-95.8547119,36.2695388
"SD","Woonsocket",-98.2756432,44.0535982
"VA","Harrsionburg",-78.8689155,38.4495688
"GA","Marietta",-84.5499327,33.952602
"NY","Watertown",-75.9107565,43.9747838
"TN","Smithville",-85.8141516,35.9606185
"AK","St. Michael",-162.0391667,63.4780556
"AR","Fort Smith",-94.3985475,35.3859242
"KS","Junction City",-96.8313978,39.0286093
"OH","Pataskala",-82.6743341,39.9956193
"TX","Ennis",-96.6252679,32.3293111
"NH","Wolfeboro",-71.2094799,43.5852069
"KY","Richmond",-84.2946539,37.7478572
"MI","Farmington Hills",-83.3677168,42.4989936
"FL","Gainesville",-82.3248262,29.6516344
"IL","Morrison",-89.9651186,41.809751
"MT","Hamilton",-114.1548161,46.2471437
"NC","Cullowhee",-83.1765333,35.3137111
"NC","Sylva",-83.2259803,35.3737111
"NC","Sylva ",-83.2259803,35.3737111
"NY","Liverpool",-76.2177046,43.106456
"NY","Rome ",-75.4557303,43.2128473
"OK","Elk City",-99.4042592,35.4119944
"OK","Enid",-97.8783911,36.3955891
"OK","Lawton",-98.3959291,34.6035669
"IL","Hinsdale",-87.9370052,41.8008642
"NY","Camillus",-76.3040965,43.039233
"OK","Shawnee",-96.9253004,35.3272928
"FL","Port Orange",-80.9956105,29.1383165
"MT","Corvallis",-114.1128734,46.3140884
"NY","Brewerton",-76.1407575,43.2381242
"TX","New Braunfels ",-98.1244531,29.7030024
"FL","New Smyrna Beach ",-80.9269984,29.0258191
"NE","Papillion",-96.0422378,41.1544432
"OH","St Marys",-84.3893961,40.5422697
"NC","Asheville",-82.5514869,35.5950581
"WI","New London",-88.7398256,44.3927582
"AK","Shishmaref",-166.0719444,66.2566667
"FL","Gainsville ",-82.3248262,29.6516344
"HI","Kaneohe",-157.7973653,21.3996475
"MI","BLOOMFIELD TWP",-83.2827093,42.5793103
"NC","Bryson City",-83.4473809,35.4309291
"FL","Tallahassee",-84.2807329,30.4382559
"IN","Sullivan ",-87.4058525,39.0953199
"OH","Granville",-82.5196037,40.0681192
"TX","Ferris",-96.6655488,32.5340262
"NY","Yonkers",-73.8987469,40.9312099
"FL","Saint Cloud",-81.2811801,28.2489016
"IA","Council Bluffs",-95.8608333,41.2619444
"IL","Chester",-89.8220505,37.9136628
"IL","Northbrook",-87.8289548,42.1275267
"NC","Taylorsville",-81.1768813,35.9216748
"NC","Franklin",-83.3815429,35.1823171
"OK","Bixby",-95.8833235,35.9420431
"OK","Sapulpa",-96.1141664,35.9987007
"IN","Carlisle",-87.4025572,38.9623034
"KY","Harlan",-83.321848,36.8431441
"NC","Lumberton",-79.0086424,34.6182199
"FL","Saint Augustine",-81.3124341,29.9012437
"NY","Syracuse",-76.1474244,43.0481221
"FL","Winter Park ",-81.3392352,28.5999998
"HI","Hilo",-155.0884869,19.7070942
"NC","Brevard",-82.7342919,35.2334472
"ND","Fargo",-96.7898034,46.8771863
"HI","Kailua",-157.7394444,21.4022222
"OK","Grove ",-94.7691186,36.5936863
"SC","Georgetown",-79.2944964,33.376834
"KY","Radcliff",-85.9491298,37.8403456
"LA","Jackson",-91.2176087,30.8374036
"SC","Florence",-79.7625625,34.1954331
"KY","Bardstown ",-85.4669025,37.8092279
"KY","Magnolia",-85.7435739,37.4439477
"AK","Golovin",-163.0291667,64.5433333
"AZ","Apache Junction ",-111.5495777,33.4150485
"CA","Temecula ",-117.1483648,33.4936391
"IA","Perry",-94.1071797,41.8385964
"KY","Radcliffe",-85.9491298,37.8403456
"MI","Riverview",-83.1793697,42.1742073
"SC","Murrells Inlet",-79.0414261,33.5510021
"GA","Blackshear",-82.2420661,31.3060513
"GA","Waycross",-82.3540178,31.2135511
"LA","Livingston",-90.7478737,30.5021345
"MD","Gaithersburg",-77.2013705,39.1434406
"MD","Kensington",-77.0763669,39.0256651
